Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
"Oseille, crue","19,81","1,89",93,"1,6","0,65","1,54","0,055","1,8",-,"1,1",0,-,"0,1","0,04","0,26",-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,0094",44,-,"0,13","2,4","0,4",103,"0,35",63,390,"0,9",4,"0,2",0,-,0,-,-,-,48,"0,04","0,1","0,5","0,041","0,12",13,0
Ossau-Iraty,"429,80","24,2","33,8",0,37,0,-,0,0,"3,88",0,-,"24,4","8,43","1,78",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"94,4","1,68",764,-,"0,057","0,32",-,"35,6",-,-,"45,7",-,673,"2,43",273,-,-,"0,15",-,-,-,"0,036","0,5",-,"0,16","0,028","35,3","1,06"
Osso buco,"100,54","12,5","77,4","3,5","4,06","1,1","2,3","0,6",0,"1,9",0,-,"0,8","2,62","0,39",-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,"1,47","13,7",-,"0,057","0,6","3,3","18,4","0,066","97,4",234,"3,24",586,"1,26",0,481,0,"0,53",-,-,"2,4","0,083","0,12","3,48","0,25","0,19",11,"0,38"
Paëlla,"143,94","7,86","66,9","17,1","4,9","1,2","15,1","1,85",0,"1,26",0,-,"1,28","1,08","0,55","< 0,05","< 0,05","< 0,05","< 0,05","0,002","0,025","0,37","0,17","1,08","0,47","0,036",-,"0,025","0,02","22,8","0,87","38,7",482,"0,11","0,69",4,"25,4","0,13",90,148,< 10,343,"0,68",5,125,"< 0,5","1,3",-,-,"1,95","0,073","0,45","2,6","0,42","0,12","18,8","1,1"
Pain (aliment moyen),"271,10","8,22","29,3","55,1","1,98","3,32","48,4","3,25",0,"1,97","0,011",0,"0,28","0,25","0,4",,,"0,0071","0,0075","0,0072","0,0024","0,15","0,031","0,19","0,3","0,045",,,,,"1,57","31,2",,"0,3","1,32",,"29,1","0,71",114,163,"4,26",656,"0,52",,,,"0,28",,,,"0,11","0,052","1,11","0,41","0,17","18,5","0,15"
"Pain au chocolat feuilleté, artisanal","419,82","6,38","19,7","47,5","22,7","12,5","26,7","2,1",0,"1,65",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,"1,18","57,7",752,"0,18","3,48",< 10,"38,5","0,4",83,240,< 10,470,"0,7",0,114,"0,1",2,-,-,-,"< 0,05","0,09",1,"0,42","0,06",36,-
"Pain au chocolat, préemballé","419,44","6,46","18,6",48,"22,4","12,1","32,3","3,13",0,"1,43",0,0,"14,7","5,36","1,35","0,38","0,24","0,19","0,34","0,52","1,43","7,69","2,82","5,36","1,18","0,18","< 0,01","< 0,01","< 0,01",67,"0,88",41,572,"0,19","2,7",< 20,30,"0,49",86,160,< 20,348,"0,72","88,2",392,"< 0,25","2,12","6,13",-,-,"0,16","0,044","0,9","0,22","0,041","73,9","0,17"
"Pain au lait aux pépites de chocolat, préemballé","363,58","8,52","21,8",52,"13,5",18,"31,3","2,72",0,"1,5",0,0,"6,32","4,93","1,62","0,02","0,01","0,02","0,02","0,06","0,11","2,57","1,69","4,93","1,27","0,35","< 0,01","< 0,01","< 0,01","49,2","0,93",60,622,"0,16",2,< 20,28,"0,46",120,180,< 20,371,"0,9",< 21,"76,4","< 0,25","2,3","6,92",-,"< 0,5","0,17","0,12","0,48","0,61","0,059","22,9","0,29"
"Pain au lait, artisanal","424,66","8,49","16,8","49,3","21,5","8,6","40,7","5,3",0,"1,7",0,0,11,"5,67","1,14","0,48","0,27","0,2","0,41","0,61","1,66","5,26","1,65","1,94","0,53","0,12",-,"0,011",-,58,"1,14","37,1",791,"0,11","1,1",< 10,"20,3",< 1,114,171,< 5,456,< 1,44,< 50,"< 0,2","1,2",-,-,0,"0,07","0,13","0,46","0,57","0,17",46,"0,82"
"Pain au lait, préemballé","348,98","8,52","22,3","54,2","10,9","12,4","41,4","2,53",0,"1,5",0,0,"5,57","3,09","0,85","0,22","0,13","0,087","0,2","0,25","0,81","2,95","0,92","2,32","0,81","0,037","0,0032","0,0042","0,0022",106,"1,07","41,6",725,< 1,< 1,< 10,"19,2",< 1,101,142,"19,4",428,< 1,"48,5",< 50,"< 0,2","1,2",-,-,-,"0,16","0,12","0,24","0,6","< 0,05","98,1","0,51"
Pain au son,"240,32","8,3","33,3","44,4","3,28","2,04","41,8","6,21",0,"2,43",0,0,"0,2","0,16","0,82",-,-,"0,003",-,-,"0,0013","0,17","0,021","0,14","0,59","0,049",-,-,-,-,"1,65","30,5",-,"0,23","2,05",-,"54,1","1,64",198,253,< 5,410,"1,19",-,-,-,"0,2",-,-,-,"0,15","0,04","1,93","0,58","0,16","13,1","0,1"
Pain aux raisins (viennoiserie),"325,04","5,11","25,8","55,9",9,"18,7",26,"2,8",0,"1,4",0,0,"4,1","2,94","0,89","0,12","0,079","0,062","0,11","0,27","0,47","2,29","0,7","2,67","0,44","0,12","0,0069","0,0032",-,43,"0,71","32,1","0,5",< 1,"0,77",< 10,"18,6",< 1,100,278,"9,7",280,< 1,36,< 50,"< 0,2","0,97",-,-,0,"0,07","0,18","< 0,05","0,63","0,08",132,"0,54"
Pain blanc maison (avec farine pour machine à pain),"247,74","7,81","33,9","52,1","0,9",-,"40,4","2,6",0,"1,88",0,0,"0,17","0,083","0,35","< 0,0003","< 0,0003","< 0,0003","< 0,0003","0,0042","0,003","0,12","0,043","0,079","0,33","0,021","< 0,0003","< 0,0003","< 0,0003","< 0,7","1,45",21,880,"0,09","0,85","18,5",20,"0,47",94,130,< 50,578,"0,62",-,< 10,-,"0,18","< 0,8",-,"0,6","0,079","0,04","0,69","0,31","0,082","30,3",-
Pain brioché ou viennois,"345,46","9,76","20,3","55,5","9,38","6,9","39,1","3,3",0,"1,79",0,0,"5,22","3,15","0,49","0,15","0,093","0,068","0,14","0,21","0,59","3,45","0,53","3,15","0,49",-,-,-,-,"42,4","1,31","42,5",915,-,1,< 10,"21,5","0,45",122,163,< 5,525,"0,75",24,63,"< 0,2","0,37",-,-,-,"0,1","0,22","1,3","0,52","0,11",44,"1,7"
Pain complet ou intégral (à la farine T150),"237,30","10,2","37,8","40,8","3,7","2,9","37,9","7,3",0,"1,8",0,0,"0,7","0,14","0,5","< 0,05","< 0,05","< 0,05","< 0,05","< 0,05","0,001","0,23","0,013","0,14","0,47","0,024",-,0,0,0,1,"31,9",-,"0,17","2,09",2,56,"1,38",187,315,< 10,398,"1,12",0,-,0,"0,3",20,-,0,"0,2","0,11","2,4","0,64","0,24","26,4","0,11"
"Pain courant français, 400g ou boule","257,60","7,9","36,9",52,2,-,-,"2,6",0,"1,64",0,0,"0,42","0,46","0,46",0,0,0,0,0,"0,046","0,23","0,14","0,46","0,42","0,046",0,0,0,0,"1,33",37,-,"0,12",1,"20,7","21,3","0,6",124,128,"2,65",499,"0,63",0,-,0,"0,5",0,-,0,"0,12","0,067",1,"0,5","0,053","50,3",0
Pain de campagne maison (avec farine pour machine à pain),"226,82","7,98","37,3","46,7","0,9",-,"39,3","5,1",0,"2,06",0,0,"0,18","0,083","0,34","< 0,0003","< 0,0003","< 0,0003","< 0,0003","< 0,0003","0,0012","0,098","0,075","0,074","0,32","0,025","< 0,0003","< 0,0003","< 0,0003","< 0,7","1,34",20,899,"0,13","1,3",22,34,"0,84",130,210,< 50,537,"1,1",-,< 10,-,"0,26","< 0,8",-,"1,33","0,16","0,06","0,64","0,31","0,062","25,6",-
"Pain de mie brioché, préemballé","311,80","7,92",-,"50,5","8,68","9,33","40,7","2,85",0,"1,67",0,0,"4,25","1,14","0,42",-,-,-,"0,13",-,-,-,-,-,-,-,-,-,-,-,"1,09",-,-,-,-,-,-,-,-,-,-,435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pain de mie, au son","260,86","6,84","34,3",46,"5,5","3,53",30,7,0,"2,53",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,35",-,-,"< 0,5","3,5",-,"76,6","1,6",-,-,< 5,423,"1,4",-,-,-,-,-,-,-,-,-,"1,35",-,-,< 2,-
"Pain de mie, complet","245,38","8,51","35,4","43,7","4,06","5,69","34,7","6,23",0,"1,97","0,2",0,"0,96","1,25","0,71",-,-,-,0,"0,0028","0,018","0,82","0,11","1,2","0,62","0,093",0,"0,0011",0,"< 0,5","1,18",141,787,< 1,"1,6",< 10,"51,5","1,5",160,226,< 5,471,"1,1",-,< 50,-,"0,5",-,-,-,"0,17","0,1","< 0,05","0,56","0,11",25,-
"Pain de mie, courant","272,79","7,61","31,8","50,8","4,35","6,03",43,"3,42",0,"1,84","0,2",0,"1,55","0,85","0,51","< 0,05","< 0,05","< 0,05","< 0,05","0,004","0,018","1,01","0,2","0,85","0,39","0,12",0,"0,00081",0,"3,2","1,24",122,812,"0,099","1,03",< 10,"30,4","0,55",86,150,< 10,495,"0,55",0,< 50,0,"< 0,1",-,-,0,"0,13","0,1","< 0,05","0,46","0,05",20,-
"Pain de mie, multicéréale","258,33","8,81","34,4","43,6","5,41","4,42","39,1","5,74",0,"1,84","0,2",0,"1,15","0,68","1,8","< 0,006","< 0,006","< 0,006","0,0033","0,0033","0,0082","0,34","0,11","0,68","0,72","0,4","< 0,006",-,-,"< 0,5","1,29","77,6",728,"2,6","1,9",6,"40,9","1,52",140,157,8,515,"1,5",< 2,< 30,"< 0,5",3,-,-,< 1,"0,2","0,12","4,2","0,55","0,13",52,"0,29"
"Pain de mie, sans croûte, préemballé","245,50","7,22","39,5","46,1","3,58","9,66","36,5","2,48",0,"1,61",0,0,"1,16","1,41","0,94",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,96",-,-,-,-,-,-,-,-,-,-,442,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pain de seigle, et froment","218,68","5,58",36,"46,3","1,24","1,9",36,"8,9",0,2,0,0,"0,2","0,26","0,37",0,0,"0,00083","0,00083","0,0091","0,004","0,14","0,04","0,26","0,34","0,037",-,0,0,0,"1,33","22,8",1050,"0,19","1,2",< 10,"29,6",< 1,169,179,< 5,530,< 1,0,< 50,0,"< 0,1",1,-,"0,4","0,15","0,08","0,5","0,46","0,12",12,"0,13"
Pain d'épices,"328,41","3,38","19,3","74,2","2,01","41,7","28,4","3,21",-,"0,72",0,0,"0,59","0,92","0,41","< 0,01","< 0,01","< 0,01","< 0,01","0,0039","0,012","0,4","0,053","0,81","0,32","0,076",-,-,"< 0,01",2,"0,47",4,76,"0,11","1,1",2,"14,3","0,5",88,"91,9",-,187,"0,5",-,2,-,"0,57",-,-,"< 0,5","0,05","< 0,04","0,34","< 0,16","0,16",-,-
"Pain grillé brioché, tranché, préemballé","408,31","10,6","4,45","70,8","9,19",11,59,"3,58",0,"1,41",0,0,"4,18","1,44","0,98",-,-,-,"0,041",-,-,-,-,-,-,-,-,-,-,-,"1,03",-,-,-,-,-,-,-,120,-,-,409,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pain grillé suédois au blé complet,"379,60","10,5","5,8","66,4",8,2,"54,8",7,0,"2,3",0,0,3,"2,89","1,39","< 0,01","< 0,01","< 0,01","< 0,01","0,0078","0,045","1,86","0,2","2,71","1,19","0,2",-,-,"< 0,01",-,"1,53","26,8",1020,< 1,"1,6",< 10,"60,9","1,7",213,284,< 5,610,"1,4",-,< 50,-,"0,68",-,-,-,"0,19","0,11","1,4","0,69","0,25",26,-
Pain grillé suédois au froment,"383,81","8,89","5,5","68,5","8,25","6,2","56,9","7,3",0,"1,6",0,0,"1,64","3,73","1,17","< 0,01","< 0,01","< 0,01","< 0,01","0,014","0,035","1,39","0,2","3,59",1,"0,16",-,-,"< 0,01",-,"1,06","42,2",765,-,1,< 10,"23,4",< 1,120,163,< 5,422,< 1,-,< 50,-,"0,86",-,-,-,"0,2","0,07","1,4","0,52","0,14",21,-
Pain grillé suédois aux fruits,"387,12","7,98","6,7","70,8",8,13,"55,5","5,25",0,"1,31",0,0,3,"3,25","1,23","< 0,01","< 0,01","< 0,01","< 0,01","0,03","0,075","2,56","0,28","3,1","1,08","0,15",-,-,"< 0,01",-,"0,86",-,-,-,-,-,-,-,-,-,-,340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pain grillé suédois aux graines de lin,"374,20","10,3",-,63,9,"4,67","58,3",9,0,"1,57",0,0,"1,17",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,57",-,-,-,-,-,-,-,-,-,-,613,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pain grillé, domestique","326,28","9,56","13,2","69,4","1,16","3,1","63,3","4,2",0,"2,57",0,0,"0,57","0,24",-,-,-,-,-,-,"0,0021","0,24","0,012","0,12","0,38","0,019",-,-,-,-,"2,12","78,3","1,9","0,11","1,16",< 5,"29,1","0,62",122,222,< 10,848,"0,63",< 2,0,"< 0,5","0,28",-,-,"< 0,5","0,18","0,058","1,68","0,25","0,14","42,1",-
"Pain grillé, tranches, au froment","390,48","9,76","3,65",74,"6,16","5,28","66,7","4,34",0,"2,09",0,0,"2,49","1,99","0,86","< 0,01","< 0,01","0,0081","0,0069","0,022","0,03","1,22","0,14","1,99","0,76","0,033","0,01","0,0039","< 0,0083",0,"1,56","29,3",-,"0,18","1,9",4,"33,8","0,7",135,175,2,616,-,-,-,-,-,-,-,-,-,-,-,"0,1",-,-,0
"Pain grillé, tranches, multicéréale","400,77","12,4",4,"68,6","8,53","3,68",63,"5,95",0,"1,88",0,0,"1,69","3,47","2,31","< 0,01","< 0,01","< 0,01","< 0,01","0,018","0,012","0,62","0,33","3,47","1,92","0,39",-,-,"< 0,01",0,"1,09",30,-,"0,18",9,4,66,"0,7",194,300,"1,7",437,"1,5",0,0,0,"1,5",-,-,0,"0,2","0,15","1,5","0,1","0,1",57,0
Pain panini,"264,14","7,66","30,9","55,9","1,1","2,3","48,3","2,6",0,"1,87",0,0,"0,22","0,38","0,14",-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,"1,55",22,-,-,"0,9",-,29,-,118,148,-,619,-,9,6,0,"0,4",-,-,-,"0,1","0,1","0,8","0,4","0,17",39,"0,1"
Pain perdu,"228,97",6,"51,9","29,8","9,53","13,7","16,2","1,25",0,"1,39",0,0,"4,34","3,07","1,34","0,022","0,013","0,008","0,017","0,019","0,086","1,32","0,62",-,-,-,-,"0,001","0,0095",78,"0,91","85,3",-,"0,06","1,43","9,8","15,1","0,21",105,121,"2,38",365,"0,62","89,3","45,3","0,29","0,45",-,-,"0,4","0,17","0,26","1,8","0,57","0,17",19,"0,6"
Pain pita,"250,40","7,53","34,1",53,"0,92","2,18",48,"2,68",0,"1,81",0,0,"0,17",0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,38","52,7",982,-,1,< 10,"18,1",< 1,84,134,< 5,543,< 1,-,< 50,-,"< 0,1",-,-,-,"0,11","0,08","2,6","0,49","0,05",21,-
"Pain pour hamburger ou hot dog (bun), complet, préemballé","272,51","8,89",-,"46,3","5,75","5,38",-,"4,75",0,"1,11",0,0,"0,55",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,11",-,-,-,-,-,-,-,-,-,-,413,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Pain pour hamburger ou hot dog (bun), préemballé","283,23","9,07","30,9","49,7","5,35","5,88","42,7","3,3",0,"1,71",0,0,"0,88","1,53","1,11","< 0,0016","< 0,0016","< 0,0016","< 0,0016","< 0,0016","0,0031","0,24","0,2","1,42","0,94","0,17","< 0,0016","< 0,0016","< 0,0016",0,"1,14",89,757,"0,13","0,85",< 20,27,"0,56",110,140,< 50,453,"0,84",-,< 10,-,"0,22","2,81",-,"< 0,5","0,19","0,03",1,"0,37","0,097","13,5","0,036"
"Pain, baguette ou boule, au levain","253,74","7,41","34,4","53,1","1,3","2,4","49,3","2,1",0,"1,6",0,0,"0,17","0,12","0,43",-,-,"0,00076",-,-,"0,0068","0,13","0,023","0,1","0,39","0,024",-,-,-,-,-,"18,7",-,"0,11","1,3",-,"18,7","0,57","87,3",124,-,-,"0,53",-,-,-,"0,16",1,-,-,"0,07","0,02","1,15","0,4","0,06","13,8","0,1"
"Pain, baguette ou boule, aux céréales et graines, artisanal","267,30","8,95","28,2","49,1","3,9","4,5","39,6","7,7",0,"2,13",0,0,"0,36","0,79","1,47",-,-,-,-,-,"0,0026","0,22","0,12","0,76","1,17","0,3",-,-,-,"< 0,5","1,55","38,7",984,"0,21","1,76",< 10,"65,2","0,73",148,273,< 10,621,"0,96",< 2,< 50,"< 0,5","0,4",-,-,"< 0,5","0,1","0,06","< 0,05","0,39","< 0,05",28,"0,78"
"Pain, baguette ou boule, bio (à la farine T55 jusqu'à T110)","232,57","8,68","35,7","47,1","1,05","1,37","44,3",5,0,"1,77",0,0,"0,17","0,12","0,72",-,-,"0,0074",-,-,"0,0013","0,14","0,025","0,11","0,41","0,033",-,-,-,-,"1,37","24,2",-,"0,19","1,8",-,38,"1,27",145,190,-,538,"1,1",-,-,-,"0,27",-,-,-,"0,14","0,04","2,09","0,51","0,1","19,3","0,11"
"Pain, baguette ou boule, bis (à la farine T80 ou T110) ","253,37","8,6","30,2",54,"0,33","2,39","49,5","4,2",0,"1,38",0,0,"0,045","0,039","0,14",-,-,"0,00055","0,000066","0,00038","0,0006","0,039","0,004","0,033","0,13","0,009",-,-,-,-,-,"27,5",-,"< 0,98","1,31",-,33,1,140,178,-,-,"1,2",-,-,-,"0,23",-,-,-,"0,13","0,06","1,66","0,4","0,27","22,4","0,1"
"Pain, baguette ou boule, de campagne","258,49","8,03",31,"54,5","0,93","1,5","52,4","3,35",0,"1,97",0,0,"0,083","0,21","0,33",-,-,-,-,-,"0,001","0,068","0,014","0,092","0,31","0,024",-,-,-,"0,37","1,54","20,2",934,"0,1","1,1",6,"31,6","0,58",83,163,< 10,731,"0,53",-,< 4,-,"0,39",-,-,0,"0,1","0,045","1,1","0,43","0,15",31,"0,17"
"Pain, baguette, courante","273,50","8,55","28,2","54,2","2,5","2,7","50,9","2,9",0,"2,01",0,0,"0,29","0,17","0,55","< 0,05","< 0,05","< 0,05","< 0,05","< 0,05","0,002","0,26","0,02","0,078","0,29","0,032",-,-,-,"0,075","1,58",20,959,"0,11","1,06","5,93","27,9","0,5",113,162,< 10,730,"0,5",0,0,0,"0,12","1,1",-,< 5,"0,095","0,06","0,86","0,39","0,14",10,"0,095"
"Pain, baguette, de tradition française","278,22","7,98","27,5","59,1","1,1","2,86","51,5","2,3",0,2,0,0,"0,055","0,044","0,15",-,-,"0,00025","0,00017","0,0012","0,0012","0,045","0,0069","0,039","0,14","0,0092",-,-,-,-,"1,71","23,2",-,"< 0,75","1,32",-,"22,1","0,7",105,137,< 5,700,"< 0,75",-,-,-,"0,28",-,-,-,"0,11","0,04","1,26","0,39","0,2","17,3","0,1"
"Pain, baguette, sans sel","271,90","8,55","26,9","56,5","1,3","8,6",-,"2,68",0,"1,6",0,0,"0,3",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,013",42,-,"0,12",-,6,"21,3","0,52",-,129,"4,7",-,"0,75",-,0,-,-,-,-,-,"0,069",-,-,-,"0,067",23,-
"Pain, sans gluten","247,38","2,62","33,8","51,8","3,3","4,9","41,1","6,5",0,"1,96",0,0,"1,24","0,98","0,82","< 0,01","< 0,01","0,02","0,01","0,06","0,04","0,88","0,23","0,98","0,82","< 0,01","< 0,01","< 0,01","< 0,01","4,53","1,56",60,778,"0,06","0,5",< 20,16,"0,19",95,75,< 20,624,"0,36",-,"7,6",-,"0,98","< 0,8",-,"38,6","0,045","0,02","0,15","0,4","0,025","10,7","0,059"
"Palet ou galette de légumes, préfrit, surgelé","88,52","3,29","80,5","6,6","5,44","3,34",-,"2,61",0,"1,52",0,0,"1,13","2,24","1,12",-,-,-,-,-,-,-,-,-,"1,05","0,049",-,-,-,-,"0,94",-,-,-,-,-,-,-,-,-,-,351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Palet ou galette de légumes, préfrit, surgelé, cuit","101,62","4,13","78,2","8,45","5,7",3,"4,5","2,6",0,"1,42",0,"0,32","0,64","2,41","2,29","< 0,01","< 0,01","< 0,01","0,01","0,01","0,03","0,52","< 0,01","2,29","2,24","0,05","< 0,01","< 0,01","< 0,01","27,4","0,75",40,482,"0,06","0,52",< 20,16,"0,15",58,250,< 20,301,"0,36",< 21,986,"< 0,25","2,63","20,2",-,"1,23","0,19","0,11","< 0,1","0,31","0,088","33,8","0,18"
Palette à la diable,"116,95","13,5",-,"2,08","6,07","1,38",-,"1,45",0,"2,25",0,0,"2,2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,25",-,-,-,1,-,-,-,-,-,-,901,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Palmier, artisanal","489,92","5,93","6,12","53,1","28,2","21,8","24,7","5,3",-,"1,32",0,0,"14,4","8,4","2,06","0,84","0,42","0,28","0,68","0,52","0,87","8,49","2,3","7,84","0,78","0,25","0,027",0,-,28,"1,16","15,6","0,9",< 1,"0,58",< 10,"11,5",< 1,54,"83,5","10,7",463,< 1,47,< 50,"< 0,2","3,2",-,-,0,"< 0,05","< 0,05","0,2","0,32","0,08","11,5","0,43"
"Pamplemousse chinois, pulpe, cru","37,88","0,76","89,1","8,62","0,04",-,-,1,-,"0,48",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,0025",4,-,"0,048","0,11",-,6,"0,017",17,216,-,1,"0,08",0,0,-,-,-,-,61,"0,034","0,027","0,22",-,"0,036",-,0
Pan bagnat,"211,32","7,95","51,2","30,3","6,48","3,2","22,3","1,98",0,"2,15",0,0,"0,98","4,5","0,71",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"23,6","1,03","45,9",-,"0,087","0,88","14,1","33,2","0,37","77,5",160,"4,66",428,"0,55","9,07",150,"0,28","1,59",-,-,"11,4","0,051","0,073","1,38","0,35","0,13",26,"1,31"
Panaché (limonade et bière),"21,32","0,16","92,5","5,17",0,"4,5",0,0,"0,004","0,24","1,91",0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,0052","< 0,77",-,"< 0,0019","0,015","1,2","0,36","< 0,0008","9,9","18,8","< 2,2","2,07","< 0,016",0,0,0,0,-,-,"0,08","0,003","0,012","0,31","0,03","0,024","3,46","0,025"
Panaché préemballé (<1° alc.),"21,64","0,48",94,"4,93",0,"4,92",0,0,"0,0032","0,07","0,5",0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"0,0034","3,42","13,2","0,001","0,006",1,"3,07","0,008","9,9","7,47","1,1","1,37",0,0,0,0,0,-,-,"0,0035","0,0035","0,012","0,53","0,047","0,033",5,"0,033"
"Panais, cru","50,16","1,54","80,6","10,1","0,4","4,8",-,"4,7","0,81","0,99",0,-,"0,063","0,07","0,17",-,-,-,-,-,"0,003","0,051","0,0085","0,028","0,16","0,014",-,-,-,0,"0,02","45,5",-,"0,13","0,7","0,25","29,5","0,48","82,5",505,"0,2",8,"0,72",0,0,0,"1,9","22,5",-,"11,5","0,09","0,12","1,95","0,6","0,1",67,0
"Panais, cuit","61,58","1,32","80,2","13,4","0,3","4,8",-,"3,6","0,61","1,13",0,-,"0,05","0,11","0,047",0,0,0,0,0,"0,003","0,03","0,014",-,-,-,-,0,0,0,"0,025",37,-,"0,14","0,58",-,29,"0,29",69,367,-,10,"0,26",0,0,0,1,1,-,13,"0,083","0,051","0,72","0,59","0,093",58,0
Pancetta ou Poitrine roulée sèche,"346,20",21,"43,9","0,75","28,8","0,43",-,0,0,"4,7",0,0,"12,5","11,7","3,17","< 0,01","< 0,01","< 0,01","0,028","0,028","0,43","7,67","4,36","11,7","2,95","0,15","0,066","< 0,01","< 0,01","75,2","4,14","6,2",2190,"0,06","0,71",< 20,18,"0,05",160,370,< 20,1650,"2,5",< 21,-,"0,66","0,94","< 0,8",-,"14,3","0,51","0,12","4,54","0,84","0,27","18,3","0,93"
"Panga, Pangasius, ou poisson-chat du Mékong, filet, cuit","79,00","17,5","80,6",0,1,0,-,0,0,"1,1",0,0,"0,51","0,36","0,07","< 0,01","< 0,01","< 0,01","0,036","0,046","0,055","0,31","0,064","0,31","0,07","< 0,01","< 0,01","< 0,01","< 0,01","40,8","0,58","7,5",176,"0,02","0,09",< 20,18,"< 0,01",130,200,< 20,233,"0,3",< 21,-,"< 0,25","0,28","< 0,8",-,"< 0,5","< 0,015","< 0,01","1,44","2,35","0,13","11,1","0,89"
"Pangasius ou Poisson-chat, cru","65,43","13,5","83,8",0,"1,27",0,0,0,0,"1,21",0,0,"0,47","0,44","0,17",0,0,0,0,"0,0048","0,039","0,31","0,097","0,39","0,093","0,0048",-,"0,0024","0,017","29,8","0,68","36,7",-,"< 0,1","0,21","7,95","17,6","< 0,1",107,200,"9,6",274,"0,24",< 2,0,"< 0,5","0,16","2,1",-,0,"< 0,04","0,022","1,35","1,96","0,1",10,"0,3"
"Panna cotta, rayon frais","196,34","2,41","60,7","22,6","10,7","19,2",-,"1,86",0,"0,61","1,1",0,"7,83","1,96","0,28",-,-,-,-,-,-,-,-,-,"0,23","0,056",-,-,-,68,"0,13","75,8",-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Papaye, pulpe, crue","44,44","0,58","87,8","9,9","0,28","7,46",0,"1,9",-,"0,45",0,-,"0,087","0,077","0,062",0,0,0,0,-,"0,014","0,064","0,004","0,038","0,012","0,05",0,0,0,0,"0,013","22,3",-,"0,031","0,48","0,8","21,5","0,026","10,2",190,-,6,"0,077",0,274,0,"0,3","2,6",-,"61,4","0,025","0,03","0,35","0,2","0,029","47,5",0
